"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
5.589571145E2;5.238449097E0;-2.158147430E1;2.002679443E1
5.589721945E2;5.226715088E0;-2.158298492E1;2.016244507E1
5.589872735E2;5.274810791E0;-2.160211945E1;1.987908936E1
5.590023525E2;5.385444641E0;-2.117793274E1;2.010260010E1
5.590174315E2;5.651535034E0;-2.146191406E1;2.013256836E1
5.590325105E2;5.160476685E0;-2.143003082E1;2.006411743E1
5.590475905E2;5.393783569E0;-2.126206970E1;2.062823486E1
5.590626695E2;5.164947510E0;-2.086328125E1;2.004910278E1
5.590777485E2;5.366950989E0;-2.123860168E1;2.012869263E1
5.590928275E2;5.285079956E0;-2.135531616E1;2.051251221E1
5.591079075E2;5.206275940E0;-2.093424988E1;1.983435059E1
5.591229865E2;5.276054382E0;-2.114733124E1;1.979046631E1
5.591380655E2;5.456192017E0;-2.119591522E1;1.999438477E1
5.591531445E2;5.359214783E0;-2.147072601E1;1.969406128E1
5.591682235E2;5.374656677E0;-2.119715881E1;2.008782959E1
