"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
5.941133907E0;-1.123719931E0;2.876211889E-2;7.040061355E-1
5.957799897E0;-1.118127346E0;2.510027587E-1;1.120790482E0
5.974465886E0;-1.118260503E0;1.093626261E0;1.016128302E0
5.991131876E0;-1.215998411E0;1.523593307E0;8.174566627E-1
6.007797865E0;-1.172056317E0;1.637709737E0;8.672577739E-1
6.024463855E0;-1.048086286E0;1.863012910E0;6.303697824E-1
6.041129845E0;-1.090829968E0;1.439970136E0;1.833585054E-1
6.057795834E0;-7.700524330E-1;1.234507442E0;-1.771000773E-2
6.074461824E0;-5.145223141E-1;1.352751613E0;-8.881635964E-2
6.091127813E0;-3.885549009E-1;1.015462518E0;-2.640522122E-1
6.107793803E0;-1.219726875E-1;9.110667109E-1;-4.739091694E-1
6.124459793E0;3.966775537E-1;4.190480709E-1;-5.431513190E-1
6.141125782E0;1.048752069E0;7.337003201E-2;-7.076013684E-1
6.157791772E0;1.510277510E0;-1.376853287E-1;-9.969536066E-1
6.174457761E0;1.729455471E0;-4.459459782E-1;-1.235040069E0
6.191123751E0;1.712943912E0;-3.573959470E-1;-1.179646373E0
6.207789740E0;1.059937358E0;-2.693785429E-1;-8.970851302E-1
6.224455730E0;2.810964286E-1;-4.061317816E-2;-5.612607598E-1
6.241121720E0;-1.246358454E-1;2.664490640E-1;-3.419496417E-1
6.257787709E0;-4.583296776E-1;4.735096991E-1;-6.058686972E-2
6.274453699E0;-3.974764943E-1;2.141179889E-1;1.708416492E-1
6.291119688E0;-9.587372653E-3;-2.929474926E-3;9.094688296E-2
6.307785678E0;5.604618192E-1;-4.593949318E-1;-7.030740380E-2
6.324451668E0;1.130511045E0;-7.657914162E-1;-1.685779691E-1
6.341117657E0;1.257410526E0;-8.801741004E-1;-1.786979735E-1
6.357783647E0;8.263782859E-1;-1.096289396E0;-3.848264739E-2
6.374449636E0;3.695133328E-1;-1.639174461E0;3.596596420E-1
6.391115626E0;1.384842694E-1;-2.556765795E0;3.082606792E-1
